"","mouse1","mouse2","pair","OI","sex1","sex2","type","window"
"285","112","108","112.108",0,"F","M","MF",5400
"286","112","109","112.109",0,"F","M","MF",5400
"287","112","110","112.110",0,"F","M","MF",5400
"288","112","111","112.111",0,"F","M","MF",5400
"289","112","113","112.113",0,"F","M","MF",5400
"290","112","114","112.114",0,"F","M","MF",5400
"291","112","115","112.115",0,"F","F","FF",5400
"292","112","116","112.116",0,"F","M","MF",5400
"293","112","118","112.118",0,"F","M","MF",5400
"294","112","119","112.119",0,"F","M","MF",5400
"295","112","120","112.120",0,"F","M","MF",5400
"296","112","121","112.121",0,"F","M","MF",5400
"297","112","122","112.122",0,"F","F","FF",5400
"298","112","123","112.123",0,"F","F","FF",5400
"299","112","124","112.124",0,"F","F","FF",5400
"300","112","125","112.125",0,"F","M","MF",5400
"301","112","126","112.126",0,"F","M","MF",5400
"302","112","127","112.127",0,"F","F","FF",5400
"303","112","129","112.129",0,"F","M","MF",5400
"304","112","92","112.92",0,"F","M","MF",5400
"305","112","93","112.93",0,"F","M","MF",5400
"306","112","94","112.94",0,"F","F","FF",5400
"307","112","95","112.95",0,"F","F","FF",5400
"308","112","96","112.96",0,"F","F","FF",5400
"309","112","97","112.97",0,"F","F","FF",5400
"310","112","uk2","112.uk2",0,"F","U",NA,5400
"311","113","103","113.103",0,"M","F","MF",5400
"312","113","104","113.104",0,"M","M","MM",5400
"313","113","105","113.105",0,"M","F","MF",5400
"314","113","106","113.106",0,"M","M","MM",5400
"315","113","107","113.107",0,"M","F","MF",5400
"316","113","108","113.108",0,"M","M","MM",5400
"317","113","109","113.109",0,"M","M","MM",5400
"318","113","110","113.110",0,"M","M","MM",5400
"319","113","111","113.111",0,"M","M","MM",5400
"320","113","112","113.112",0,"M","F","MF",5400
"321","113","114","113.114",0,"M","M","MM",5400
"322","113","115","113.115",0,"M","F","MF",5400
"323","113","116","113.116",0,"M","M","MM",5400
"324","113","118","113.118",0,"M","M","MM",5400
"325","113","119","113.119",0,"M","M","MM",5400
"326","113","120","113.120",0,"M","M","MM",5400
"327","113","121","113.121",0,"M","M","MM",5400
"328","113","122","113.122",0,"M","F","MF",5400
"329","113","123","113.123",0,"M","F","MF",5400
"330","113","124","113.124",0,"M","F","MF",5400
"331","113","125","113.125",0,"M","M","MM",5400
"332","113","126","113.126",0,"M","M","MM",5400
"333","113","127","113.127",0,"M","F","MF",5400
"334","113","129","113.129",0,"M","M","MM",5400
"335","113","92","113.92",0,"M","M","MM",5400
"336","113","93","113.93",0,"M","M","MM",5400
"337","113","94","113.94",0,"M","F","MF",5400
"338","113","95","113.95",0,"M","F","MF",5400
"339","113","96","113.96",0,"M","F","MF",5400
"340","113","97","113.97",0,"M","F","MF",5400
"341","113","uk2","113.uk2",0,"M","U",NA,5400
"342","114","103","114.103",0,"M","F","MF",5400
"343","114","104","114.104",0,"M","M","MM",5400
"344","114","105","114.105",0,"M","F","MF",5400
"345","114","106","114.106",0,"M","M","MM",5400
"346","114","107","114.107",0,"M","F","MF",5400
"347","114","108","114.108",0,"M","M","MM",5400
"348","114","109","114.109",0,"M","M","MM",5400
"349","114","110","114.110",0,"M","M","MM",5400
"350","114","111","114.111",0,"M","M","MM",5400
"351","114","112","114.112",0,"M","F","MF",5400
"352","114","113","114.113",0,"M","M","MM",5400
"353","114","115","114.115",0,"M","F","MF",5400
"354","114","116","114.116",0,"M","M","MM",5400
"355","114","118","114.118",0,"M","M","MM",5400
"356","114","119","114.119",0,"M","M","MM",5400
"357","114","120","114.120",0,"M","M","MM",5400
"358","114","121","114.121",0,"M","M","MM",5400
"359","114","122","114.122",0,"M","F","MF",5400
"360","114","123","114.123",0,"M","F","MF",5400
"361","114","124","114.124",0,"M","F","MF",5400
"362","114","125","114.125",0,"M","M","MM",5400
"363","114","126","114.126",0,"M","M","MM",5400
"364","114","127","114.127",0,"M","F","MF",5400
"365","114","129","114.129",0,"M","M","MM",5400
"366","114","92","114.92",0,"M","M","MM",5400
"367","114","93","114.93",0,"M","M","MM",5400
"368","114","94","114.94",0,"M","F","MF",5400
"369","114","95","114.95",0,"M","F","MF",5400
"370","114","96","114.96",0,"M","F","MF",5400
"371","114","97","114.97",0,"M","F","MF",5400
"372","114","uk2","114.uk2",0,"M","U",NA,5400
"373","115","103","115.103",0,"F","F","FF",5400
"374","115","104","115.104",0,"F","M","MF",5400
"375","115","105","115.105",0,"F","F","FF",5400
"376","115","106","115.106",0.00967741935483871,"F","M","MF",5400
"377","115","107","115.107",0,"F","F","FF",5400
"378","115","108","115.108",0.00967741935483871,"F","M","MF",5400
"379","115","109","115.109",0,"F","M","MF",5400
"380","115","110","115.110",0,"F","M","MF",5400
"381","115","111","115.111",0,"F","M","MF",5400
"382","115","112","115.112",0,"F","F","FF",5400
"383","115","113","115.113",0,"F","M","MF",5400
"384","115","114","115.114",0,"F","M","MF",5400
"385","115","116","115.116",0,"F","M","MF",5400
"386","115","118","115.118",0,"F","M","MF",5400
"387","115","119","115.119",0,"F","M","MF",5400
"388","115","120","115.120",0,"F","M","MF",5400
"389","115","121","115.121",0,"F","M","MF",5400
"390","115","122","115.122",0,"F","F","FF",5400
"391","115","123","115.123",0,"F","F","FF",5400
"392","115","124","115.124",0,"F","F","FF",5400
"393","115","125","115.125",0,"F","M","MF",5400
"394","115","126","115.126",0,"F","M","MF",5400
"395","115","127","115.127",0,"F","F","FF",5400
"396","115","129","115.129",0,"F","M","MF",5400
"397","115","92","115.92",0,"F","M","MF",5400
"398","115","93","115.93",0,"F","M","MF",5400
"399","115","94","115.94",0,"F","F","FF",5400
"400","115","95","115.95",0,"F","F","FF",5400
"401","115","96","115.96",0,"F","F","FF",5400
"402","115","97","115.97",0,"F","F","FF",5400
"403","115","uk2","115.uk2",0.00645161290322581,"F","U",NA,5400
"404","116","103","116.103",0,"M","F","MF",5400
"405","116","104","116.104",0,"M","M","MM",5400
"406","116","105","116.105",0,"M","F","MF",5400
"407","116","106","116.106",0,"M","M","MM",5400
"408","116","107","116.107",0,"M","F","MF",5400
"409","116","108","116.108",0,"M","M","MM",5400
"410","116","109","116.109",0,"M","M","MM",5400
"411","116","110","116.110",0,"M","M","MM",5400
"412","116","111","116.111",0,"M","M","MM",5400
"413","116","112","116.112",0,"M","F","MF",5400
"414","116","113","116.113",0,"M","M","MM",5400
"415","116","114","116.114",0,"M","M","MM",5400
"416","116","115","116.115",0,"M","F","MF",5400
"417","116","118","116.118",0.000160487883164821,"M","M","MM",5400
"418","116","119","116.119",0,"M","M","MM",5400
"419","116","120","116.120",0,"M","M","MM",5400
"420","116","121","116.121",0,"M","M","MM",5400
"421","116","122","116.122",0,"M","F","MF",5400
"422","116","123","116.123",0,"M","F","MF",5400
"423","116","124","116.124",0,"M","F","MF",5400
"424","116","125","116.125",0,"M","M","MM",5400
"425","116","126","116.126",0,"M","M","MM",5400
"426","116","127","116.127",0,"M","F","MF",5400
"427","116","129","116.129",0,"M","M","MM",5400
"428","116","92","116.92",0.0111806558604825,"M","M","MM",5400
"429","116","93","116.93",0,"M","M","MM",5400
"430","116","94","116.94",0,"M","F","MF",5400
"431","116","95","116.95",0,"M","F","MF",5400
"432","116","96","116.96",0.000213983844219761,"M","F","MF",5400
"433","116","97","116.97",0,"M","F","MF",5400
"434","116","uk2","116.uk2",0,"M","U",NA,5400
"435","118","103","118.103",0,"M","F","MF",5400
"436","118","104","118.104",0,"M","M","MM",5400
"437","118","105","118.105",0,"M","F","MF",5400
"438","118","106","118.106",0.016172742372585,"M","M","MM",5400
"439","118","107","118.107",0,"M","F","MF",5400
"440","118","108","118.108",0.000961622519451001,"M","M","MM",5400
"441","118","109","118.109",0,"M","M","MM",5400
"442","118","110","118.110",0,"M","M","MM",5400
"443","118","111","118.111",0,"M","M","MM",5400
"444","118","112","118.112",0,"M","F","MF",5400
"445","118","113","118.113",0,"M","M","MM",5400
"446","118","114","118.114",0,"M","M","MM",5400
"447","118","115","118.115",0,"M","F","MF",5400
"448","118","116","118.116",0.000524521374246001,"M","M","MM",5400
"449","118","119","118.119",0,"M","M","MM",5400
"450","118","120","118.120",0,"M","M","MM",5400
"451","118","121","118.121",0.000262260687123,"M","M","MM",5400
"452","118","122","118.122",0,"M","F","MF",5400
"453","118","123","118.123",0,"M","F","MF",5400
"454","118","124","118.124",0,"M","F","MF",5400
"455","118","125","118.125",0,"M","M","MM",5400
"456","118","126","118.126",0,"M","M","MM",5400
"457","118","127","118.127",0,"M","F","MF",5400
"458","118","129","118.129",0.019319870618061,"M","M","MM",5400
"459","118","92","118.92",0.000524521374246001,"M","M","MM",5400
"460","118","93","118.93",0,"M","M","MM",5400
"461","118","94","118.94",0,"M","F","MF",5400
"462","118","95","118.95",0.011626890462453,"M","F","MF",5400
